group,item,usd,partner,phase,source,recipient_country,details,essential_phase_1,partner_comments
Knowledge dissemination,Developed and Printing of visibility materials,457,BNMT,2,SBU,Nepal,Project Visibility - covers phases 2 and 3,,
Monitoring and Evaluation,Field Monitoring-Field Level Staff,2019,BNMT,2,SBU,Nepal,DSA and Travelling cost for monitoring filed for field level staff,,
Monitoring and Evaluation,Jointly Monitoring Visit With NTC/MoH/BNMT/Local Bodies/DHO,3245,BNMT,2,SBU,Nepal,DSA and Travelling cost for monitoring field for Jointly NTC/BNMT/MoH etc,,
Monitoring and Evaluation,Review Meeting at Field Stakeholders,892,BNMT,2,SBU,Nepal,Discussion/Sharing project achievement and collection feedback from Field Stakeholders,,
Monitoring and Evaluation,Review/Further Planning Meeting at National Stakeholders,654,BNMT,2,SBU,Nepal,Sharing project output and discuss further plan,,
HR,Project Manager (50% FTE),1442.5,BNMT,2,SBU,Nepal,Overall manage and responsible Project level,,
HR,District Co-Ordinator (100% FTE),2019,BNMT,2,SBU,Nepal,Overall manage and responsible for field avtivities and training,,
HR,LSTM-Senior TB Researcher-20% FTE,6000,BNMT,2,SBU,Nepal,Data management and responsible for Research related activites,,
HR,Office Assistant/Support Staff (100% FTE),432.5,BNMT,2,SBU,Nepal,Support day to day operation in Field Office,,
HR,Admin/Finance/Logistic Assistant (100% FTE),865.5,BNMT,2,SBU,Nepal,"Accounting and Payment, reporting and admin work and logistic management of Field office",,
HR,Executive Director (15% FTE),1081.5,BNMT,2,SBU,Nepal,Responsible to Organization level,,
HR,Knowledge Management Manager (5% FTE),148.5,BNMT,2,SBU,Nepal,Responsible to Organization level (Techninal input Active Case Finding),,
HR,Finance Manager (15 % FTE),445.5,BNMT,2,SBU,Nepal,Responsible for Financial Reporting,,
HR,HR/Admin Manager (5 % FTE),148.5,BNMT,2,SBU,Nepal,Responsible for HR and Admin Function,,
Equipment,Equipment,3365,BNMT,2,SBU,Nepal,"Computers, printing, phones, etc.",,
Administrative,Administrative - field,1880,BNMT,2,SBU,Nepal,"Office, communication, meetings, etc.",,
Administrative,Administrative - central,2014.5,BNMT,2,SBU,Nepal,"Office, communication, meetings, etc.",,
Overhead,Overhead,10173,BNMT,2,SBU,Nepal,Covers both phases 2 and 3,,
Administrative,Laboratory/HR strengthening,5000,BNMT,2,SBU,Nepal,"Applicable to keeping staff on board, etc. during run-up, back-pay for Pyuthan staff",,
